#,term,pali definition (key),russian term,english term,reasoning,reference1,reference2,reference3,reference4,reference5,reference6,reference7
1,dukkha,"  ""dn22:18.18"": ""Katamañca, bhikkhave, dukkhaṁ? "",
  ""dn22:18.19"": ""Yaṁ kho, bhikkhave, kāyikaṁ dukkhaṁ kāyikaṁ asātaṁ kāyasamphassajaṁ dukkhaṁ asātaṁ vedayitaṁ, "",
  ""dn22:18.20"": ""idaṁ vuccati, bhikkhave, dukkhaṁ. "",
","боль, дискомфорт, ""боль""","pain, discomfort, ""pain""",,"  ""dn22:18.18"": ""Katamañca, bhikkhave, dukkhaṁ? "",
  ""dn22:18.19"": ""Yaṁ kho, bhikkhave, kāyikaṁ dukkhaṁ kāyikaṁ asātaṁ kāyasamphassajaṁ dukkhaṁ asātaṁ vedayitaṁ, "",
  ""dn22:18.20"": ""idaṁ vuccati, bhikkhave, dukkhaṁ. "",
","""mn141:16.1"": ""Katamañcāvuso, dukkhaṁ? "",
  ""mn141:16.2"": ""Yaṁ kho, āvuso, kāyikaṁ dukkhaṁ kāyikaṁ asātaṁ kāyasamphassajaṁ dukkhaṁ asātaṁ vedayitaṁ, "",
  ""mn141:16.3"": ""idaṁ vuccatāvuso: ‘dukkhaṁ’. "",","""sn22.104:1.4"": ""Katamañca, bhikkhave, dukkhaṁ? "",
  ""sn22.104:1.5"": ""Pañcupādānakkhandhātissa vacanīyaṁ. "",
  ""sn22.104:1.6"": ""Katame pañca? "",
  ""sn22.104:1.7"": ""Seyyathidaṁ—rūpupādānakkhandho …pe… viññāṇupādānakkhandho. "",
  ""sn22.104:1.8"": ""Idaṁ vuccati, bhikkhave, dukkhaṁ. "",","  ""sn23.15:1.4"": ""Katamaṁ nu kho, bhante, dukkhan”ti? "",
  ""sn23.15:1.5"": ""“Rūpaṁ kho, rādha, dukkhaṁ, vedanā dukkhā, saññā dukkhā, saṅkhārā dukkhā, viññāṇaṁ dukkhaṁ. "",
","  ""sn35.152:1.6"": ""‘katamaṁ panāvuso, dukkhaṁ, yassa pariññāya samaṇe gotame brahmacariyaṁ vussatī’ti? "",
  ""sn35.152:1.7"": ""Evaṁ puṭṭhā tumhe, bhikkhave, tesaṁ aññatitthiyānaṁ paribbājakānaṁ evaṁ byākareyyātha: "",
  ""sn35.152:2.1"": ""‘Cakkhu kho, āvuso, dukkhaṁ; "",
  ""sn35.152:2.2"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.152:2.3"": ""Rūpā dukkhā; "",
  ""sn35.152:2.4"": ""tesaṁ pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.152:2.5"": ""Cakkhuviññāṇaṁ dukkhaṁ; "",
  ""sn35.152:2.6"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.152:2.7"": ""Cakkhusamphasso dukkho; "",
  ""sn35.152:2.8"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.152:2.9"": ""Yampidaṁ cakkhusamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi dukkhaṁ; "",
  ""sn35.152:2.10"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati …pe… "",
  ""sn35.152:2.11"": ""jivhā dukkhā … "",
  ""sn35.152:2.12"": ""mano dukkho; "",
  ""sn35.152:2.13"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati … "",
  ""sn35.152:2.14"": ""yampidaṁ manosamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi dukkhaṁ; "",
  ""sn35.152:2.15"": ""tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.152:2.16"": ""Idaṁ kho, āvuso, dukkhaṁ; "",
","  ""sn38.14:1.2"": ""Katamaṁ nu kho, āvuso, dukkhan”ti? "",
  ""sn38.14:1.3"": ""“Tisso imā, āvuso, dukkhatā. "",
  ""sn38.14:1.4"": ""Dukkhadukkhatā, saṅkhāradukkhatā, vipariṇāmadukkhatā—"",
  ""sn38.14:1.5"": ""imā kho, āvuso, tisso dukkhatā”ti. "","," ""sn35.81:2.4"": ""‘katamaṁ pana taṁ, āvuso, dukkhaṁ, yassa pariññāya samaṇe gotame brahmacariyaṁ vussatī’ti? "",
  ""sn35.81:2.5"": ""Evaṁ puṭṭhā tumhe, bhikkhave, tesaṁ aññatitthiyānaṁ paribbājakānaṁ evaṁ byākareyyātha: "",
  ""sn35.81:2.6"": ""‘cakkhu kho, āvuso, dukkhaṁ, tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.81:2.7"": ""Rūpā …pe… "",
  ""sn35.81:2.8"": ""yampidaṁ cakkhusamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi dukkhaṁ. "",
  ""sn35.81:2.9"": ""Tassa pariññāya bhagavati brahmacariyaṁ vussati …pe… "",
  ""sn35.81:2.10"": ""mano dukkho …pe… "",
  ""sn35.81:2.11"": ""yampidaṁ manosamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi dukkhaṁ. "",
  ""sn35.81:2.12"": ""Tassa pariññāya bhagavati brahmacariyaṁ vussati. "",
  ""sn35.81:2.13"": ""Idaṁ kho taṁ, āvuso, dukkhaṁ, tassa pariññāya bhagavati brahmacariyaṁ vussatī’ti. "",
 "
2,samudaya,,скапливание,,"если samudayo - возникновение, источник и тп, то samudayasañjāti в приведенной цитате это возникновение зарождения, зачатия, что не имеет смысла:   ""dn12:10.6"": ""Yā sālavatikāya samudayasañjāti lohiccova taṁ brāhmaṇo ekako paribhuñjeyya, na aññesaṁ dadeyyā’ti. "",

https://dhamma.gift/r/?s=samudayasa%C3%B1j%C4%81ti&q=dn12#10.6","  ""dn12:10.6"": ""Yā sālavatikāya samudayasañjāti lohiccova taṁ brāhmaṇo ekako paribhuñjeyya, na aññesaṁ dadeyyā’ti. "",
  ""dn12:11.6"": ""yā kāsikosale samudayasañjāti, rājāva taṁ pasenadi kosalo ekako paribhuñjeyya, na aññesaṁ dadeyyā’ti. "",
  ""dn12:12.3"": ""yā sālavatikāya samudayasañjāti, lohiccova taṁ brāhmaṇo ekako paribhuñjeyya, na aññesaṁ dadeyyā’ti. "",
  ""dn12:14.3"": ""yā kāsikosale samudayasañjāti, rājāva taṁ pasenadi kosalo ekako paribhuñjeyya, na aññesaṁ dadeyyā’ti. "",
",,,,,,
3,nirodha,,"устранение, простоянно проверять и искать варианты как объеденить упреждение, не-порождение, не-прорастание с устранением",,"по этому поводу меня смущает несколько пунктов: 

1. если это полное прекращение зачем какие-то слова после - этого - cago patinisago mutti analayo. все уже прекратилось от чего отказываться отдаляться освобождаться и не полагаться?  тогда правильнее было бы сказать так.  ""cāgo"", ""paṭinissaggo"", ""mutti"", ""anālayo"" -> ""nirodha"", но очевидно порядок другой. а viraga - это наивысшее явление среди как составных так и несоставных.

2. фактически боль и страдание прекращены в будущем, прекращаются в состоянии медитации джанах арупах относительно и саньяведаитаниродхе абсолютно, но в жизни в теле всегда будут поводы для их появления.

3. благородная истина должна быть благородной истиной всегда, не только для благородных или истиной - относительно ниббаны и тп. потому что сказать что что-то истинно относительно того, что образно 99,9999% существу никогда не поймут и не узнают - вряд ли корректно называть истиной в принципе. термин благородно-истина - это не истина благородного благородных для благородных. в этом мощь и емкость составных слов и в частности палийских. поэтому истина - всегда истина. должна быть проверяемой извне, а не только благородными. истина только для одной категории - это не истина а местечковая правда так сказать.

4. прекращение звучит, как хорошее начало для существующей боли, но как будто в этом понятии не акцентируется, что в будущем боли не будет, или может быть понято двояко.",,,,,,,
4,maggo,,,,,,,,,,,
5,dukkhaṁ ariyasaccaṁ,,боль благородно-истина,,,,,,,,,
6,dukkhasamudayaṁ ariyasaccaṁ,,боле-скапливание благородно-истина,,,,,,,,,
7,dukkhanirodhaṁ ariyasaccaṁ,,боле-устранение благородно-истина,,,,,,,,,
8,dukkhanirodhagāminī paṭipadā ariyasaccaṁ,,к боле-устранению ведущая практика благородно-истина,,,,,,,,,
9,ariyasacca,,благородно-истина,noblo-truth,"и благородные истины sn56.27
и это истины Благородного sn56.28
","  ""sn56.27:1.4"": ""imāni kho, bhikkhave, cattāri ariyasaccāni tathāni avitathāni anaññathāni; "",
  ""sn56.20:1.1"": ""“Cattārimāni, bhikkhave, tathāni avitathāni anaññathāni. "",
  ""sn56.20:1.7"": ""imāni kho, bhikkhave, cattāri tathāni avitathāni anaññathāni. "","," ""sn56.28:1.4"": ""Sadevake loke samārake sabrahmake sassamaṇabrāhmaṇiyā pajāya sadevamanussāya tathāgato ariyo; "",
  ""sn56.28:1.5"": ""tasmā ‘ariyasaccānī’ti vuccanti. "",",,,,,
10,cattāri ariyasaccāni,,четыре благородно-истины,,,,,,,,,
